iter	Passed	Remaining
0	84	84711
1	111	55699
2	139	46317
3	167	41584
4	198	39466
5	224	37239
6	254	36083
7	281	34853
8	308	33971
9	338	33542
10	367	33054
11	394	32486
12	420	31958
13	447	31489
14	473	31091
15	498	30671
16	524	30333
17	550	30054
18	579	29936
19	608	29839
20	634	29600
21	660	29381
22	687	29212
23	707	28772
24	735	28681
25	761	28520
26	787	28385
27	815	28312
28	840	28155
29	868	28071
30	894	27969
31	920	27845
32	947	27776
33	972	27628
34	999	27547
35	1020	27330
36	1044	27175
37	1072	27152
38	1099	27086
39	1126	27041
40	1155	27028
41	1181	26941
42	1209	26928
43	1238	26907
44	1264	26828
45	1291	26775
46	1314	26653
47	1342	26633
48	1370	26597
49	1392	26448
50	1415	26347
51	1439	26243
52	1461	26116
53	1486	26047
54	1509	25937
55	1533	25846
56	1556	25757
57	1580	25665
58	1604	25590
59	1629	25525
60	1653	25456
61	1678	25388
62	1701	25307
63	1726	25252
64	1750	25179
65	1774	25116
66	1801	25084
67	1823	24992
68	1846	24909
69	1868	24826
70	1891	24744
71	1915	24683
72	1939	24631
73	1964	24584
74	1989	24534
75	2013	24474
76	2037	24426
77	2062	24377
78	2084	24305
79	2105	24213
80	2129	24165
81	2156	24142
82	2180	24094
83	2201	24004
84	2225	23953
85	2248	23891
86	2268	23801
87	2292	23762
88	2316	23712
89	2339	23659
90	2364	23620
91	2387	23565
92	2412	23527
93	2438	23499
94	2464	23476
95	2488	23436
96	2514	23410
97	2539	23375
98	2564	23341
99	2588	23297
100	2613	23259
101	2638	23227
102	2663	23196
103	2687	23156
104	2712	23118
105	2736	23083
106	2762	23058
107	2784	22999
108	2810	22969
109	2833	22924
110	2857	22882
111	2882	22852
112	2907	22819
113	2932	22788
114	2956	22749
115	2980	22711
116	3004	22673
117	3029	22646
118	3054	22612
119	3078	22572
120	3102	22539
121	3127	22509
122	3150	22465
123	3173	22419
124	3199	22398
125	3225	22374
126	3248	22331
127	3276	22322
128	3298	22271
129	3321	22226
130	3345	22189
131	3369	22159
132	3393	22119
133	3418	22093
134	3446	22082
135	3471	22055
136	3495	22021
137	3520	21988
138	3543	21948
139	3567	21911
140	3589	21867
141	3614	21838
142	3640	21815
143	3664	21780
144	3689	21754
145	3713	21718
146	3735	21675
147	3761	21652
148	3784	21613
149	3807	21574
150	3829	21533
151	3853	21500
152	3878	21468
153	3902	21436
154	3927	21413
155	3953	21386
156	3977	21354
157	4000	21320
158	4025	21291
159	4050	21264
160	4071	21216
161	4094	21179
162	4118	21148
163	4142	21116
164	4166	21083
165	4187	21038
166	4209	20998
167	4235	20973
168	4258	20940
169	4280	20900
170	4306	20876
171	4330	20847
172	4355	20821
173	4378	20785
174	4401	20750
175	4426	20721
176	4449	20690
177	4474	20661
178	4500	20639
179	4524	20611
180	4547	20576
181	4569	20536
182	4593	20505
183	4615	20467
184	4639	20436
185	4662	20403
186	4685	20369
187	4711	20348
188	4736	20325
189	4763	20309
190	4786	20271
191	4809	20241
192	4833	20212
193	4858	20185
194	4884	20164
195	4907	20129
196	4931	20100
197	4956	20077
198	4982	20053
199	5006	20024
200	5029	19993
201	5055	19971
202	5079	19941
203	5101	19907
204	5127	19883
205	5152	19857
206	5176	19832
207	5202	19810
208	5226	19782
209	5250	19751
210	5274	19722
211	5298	19696
212	5323	19668
213	5350	19651
214	5374	19623
215	5397	19591
216	5423	19568
217	5448	19545
218	5472	19517
219	5496	19488
220	5520	19457
221	5542	19424
222	5567	19398
223	5590	19367
224	5614	19338
225	5637	19308
